22	51
23	50
24	50
25	51
26	51
27	50
28	51
29	51
160	10
161	10
162	10
163	10
164	10
90	20
165	11
91	21
210	21
166	30
92	40
211	21
167	30
93	11
212	41
168	10
94	11
213	21
169	10
95	11
214	41
96	11
215	21
97	11
216	41
98	11
217	21
99	50
218	21
100	11
219	41
101	11
102	11
103	11
104	11
30	50
105	11
31	50
106	11
32	50
107	11
33	40
108	31
34	50
109	11
35	50
36	40
37	40
38	50
39	50
170	10
171	10
172	10
173	30
174	10
175	40
220	41
176	10
0	51
221	21
177	30
1	51
222	21
178	30
2	51
223	20
179	41
3	51
224	20
4	51
225	20
5	51
226	11
6	51
227	30
7	51
228	20
110	11
8	51
229	11
111	11
9	51
112	11
113	11
114	11
40	40
115	31
41	50
116	21
42	41
117	21
43	50
118	40
44	40
119	21
45	40
46	40
47	40
48	40
49	40
180	41
181	41
182	41
183	30
184	40
185	41
230	20
186	41
231	20
187	30
232	20
188	41
233	20
189	30
234	11
235	20
120	31
121	21
122	31
123	21
124	10
50	40
125	31
51	40
126	21
52	40
127	30
53	40
128	21
54	40
129	30
55	31
56	31
57	31
58	31
59	31
190	51
191	41
192	30
193	41
194	41
195	40
196	30
197	30
198	41
199	21
130	30
131	30
132	30
133	31
134	40
60	31
135	31
61	51
136	21
62	31
137	31
63	31
138	30
64	31
139	30
65	31
66	31
67	51
68	31
69	31
140	21
141	30
142	21
143	11
144	30
70	51
145	30
71	51
146	21
72	31
147	50
73	41
148	10
74	20
149	10
75	20
76	20
77	20
78	20
79	20
10	51
11	51
12	50
13	50
14	50
15	50
16	50
17	50
18	50
19	51
150	10
151	10
152	10
153	10
154	30
80	20
155	10
81	40
200	20
156	11
82	20
201	21
157	10
83	20
202	21
158	10
84	41
203	41
159	10
85	41
204	21
86	50
205	30
87	20
206	21
88	20
207	21
89	20
208	41
209	41
20	50
21	51
